3_Computer_Repair_Service;121.166782;[33.8759];[1762];[11];[50.25726];[1799];[162];[37.031627];[2024];[299];0
4_Expense_Handling_Process;102.444254;[33.905823];[1733];[13];[41.817985];[1772];[80];[26.719264];[1912];[201];0
8_Mikkeller_webshop;112.273975;[34.656256];[1800];[7];[46.477441];[1833];[142];[31.138487];[2034];[286];0
10_Design_approval;264.536697;[33.40163, 34.473919];[1724, 1724];[11, 18];[57.070824, 48.797533];[1761, 1765];[157, 186];[62.092945, 28.69676];[1983, 2002];[336, 200];1
15_Long_term_renting_process;324.605622;[40.222776, 40.562076];[2042, 2042];[15, 13];[64.292007, 67.702413];[2081, 2081];[300, 264];[55.164044, 56.658657];[2441, 2406];[370, 384];1
16_Bicycle_Rental_Process;164.780587;[39.704525];[1995];[22];[74.756989];[2044];[354];[50.317032];[2431];[373];0
18_nan;5495.257176;[47.457324, 41.40998, 41.80995, 45.728777, 46.537266, 50.766784, 46.720891, 46.761364, 48.224488, 46.438992, 46.46353, 46.670308, 49.261388, 46.309136, 48.515097, 47.314341, 46.614854, 48.606334, 46.485919, 47.69458, 46.578314, 46.546551, 46.264581, 46.046555, 47.389867];[2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286];[27, 27, 27, 43, 27, 50, 27, 27, 40, 27, 27, 27, 40, 27, 50, 40, 30, 43, 30, 40, 27, 27, 29, 27, 40];[108.533147, 122.090765, 121.251325, 119.118171, 124.78227, 99.37764, 87.728709, 77.437234, 82.8913, 81.466591, 94.726157, 79.943994, 100.5229, 87.646, 83.819879, 93.361094, 90.041709, 77.807079, 83.66298, 86.282663, 84.297997, 76.608531, 71.874629, 82.797304, 79.870303];[2340, 2340, 2340, 2350, 2340, 2350, 2340, 2340, 2350, 2340, 2340, 2340, 2350, 2340, 2350, 2350, 2340, 2350, 2340, 2350, 2340, 2340, 2340, 2340, 2350];[417, 395, 425, 422, 426, 402, 431, 350, 429, 433, 386, 372, 447, 416, 428, 570, 435, 378, 414, 428, 398, 405, 378, 428, 398];[102.39174, 125.65467, 119.018141, 119.46285, 106.873871, 67.343928, 83.579773, 85.663371, 72.2865, 73.177326, 86.791977, 60.358688, 84.553842, 70.7593, 72.974543, 64.208321, 68.735706, 66.389187, 86.706623, 76.44936, 76.781244, 63.653375, 57.686997, 71.742003, 65.425886];[2804, 2780, 2811, 2805, 2811, 2801, 2817, 2735, 2832, 2796, 2755, 2739, 2847, 2779, 2832, 2912, 2799, 2761, 2800, 2831, 2783, 2769, 2743, 2814, 2764];[409, 557, 520, 510, 468, 384, 622, 674, 532, 569, 559, 387, 511, 558, 551, 496, 409, 448, 535, 562, 548, 585, 518, 568, 453];24
1_Hospital_Workflow;221.38725;[36.25762, 36.777148];[1850, 1850];[16, 17];[45.249783, 47.95304];[1892, 1895];[87, 137];[30.340197, 24.806345];[2036, 2087];[184, 173];1
13_Translation_Order_Handling_Process;128.946272;[36.70367];[1880];[13];[52.56457];[1916];[200];[39.675655];[2168];[290];0
5_Quality_control_of_medical_products;389.834835;[36.505203, 36.333356, 36.524287];[1834, 1834, 1834];[20, 20, 22];[57.781893, 56.488151, 60.588725];[1880, 1880, 1880];[267, 228, 309];[33.154742, 39.663664, 32.790285];[2188, 2149, 2243];[278, 310, 263];2
