3_Computer_Repair_Service;1394.383136;[281.952349, 271.113942];[17856, 17856];[24, 13];[319.417782, 318.678737];[18267, 18255];[131, 131];[98.56552, 104.651312];[19015, 19015];[178, 201];1
4_Expense_Handling_Process;1977.780761;[276.649497, 274.62046, 278.193854];[17827, 17827, 17827];[30, 13, 13];[308.543065, 305.803336, 302.110423];[18244, 18226, 18226];[93, 95, 85];[85.446962, 73.986885, 72.421168];[18950, 18953, 18942];[165, 115, 119];2
8_Mikkeller_webshop;1431.490265;[272.571764, 279.895695];[17894, 17894];[20, 36];[338.976782, 345.145213];[18300, 18326];[209, 200];[61.058472, 133.838276];[19128, 19120];[64, 352];1
10_Design_approval;20900.023469;[286.23405, 284.245539, 278.74464, 295.802056, 269.53304, 288.506715, 292.02994, 275.339519, 276.77343, 291.68091, 344.241765, 299.348914, 289.130011, 271.664602, 305.7666, 279.89891, 299.100884, 281.651498, 344.704716, 275.473235, 360.055345, 297.067398, 285.980341, 293.864165, 295.428595, 278.079142, 320.748177, 293.492264, 274.513026];[17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818, 17818];[61, 39, 15, 75, 13, 65, 61, 15, 13, 72, 231, 107, 55, 11, 110, 36, 63, 30, 252, 26, 359, 76, 48, 91, 62, 24, 189, 83, 15];[328.448526, 330.504041, 324.465453, 311.409338, 319.608059, 309.914236, 316.462308, 324.639612, 326.437855, 325.686763, 338.642436, 321.745011, 310.517533, 312.597921, 305.776697, 337.385876, 323.846382, 326.792896, 321.738297, 324.478089, 332.444175, 336.154822, 320.93535, 317.79668, 313.349908, 315.025933, 322.401312, 322.617612, 309.165268];[18270, 18244, 18222, 18281, 18217, 18278, 18260, 18219, 18217, 18281, 18439, 18313, 18262, 18215, 18326, 18236, 18274, 18237, 18480, 18238, 18568, 18283, 18250, 18305, 18271, 18229, 18394, 18294, 18222];[140, 166, 165, 95, 136, 108, 124, 141, 133, 124, 193, 138, 81, 107, 94, 213, 119, 141, 115, 141, 130, 189, 137, 131, 133, 150, 127, 154, 106];[89.450343, 100.678703, 136.622262, 86.510135, 143.445273, 92.916007, 96.306095, 92.337775, 90.375785, 84.692421, 109.014126, 240.202863, 82.160659, 72.786347, 105.280997, 112.933896, 112.509531, 116.079169, 118.369125, 86.713684, 97.655688, 87.153886, 82.704751, 109.326442, 97.253546, 132.746773, 99.033845, 81.23509, 83.39953];[18993, 19019, 19018, 18948, 18987, 18956, 18977, 18994, 18986, 18977, 19046, 18991, 18944, 18960, 18947, 19066, 18972, 18995, 18968, 19000, 18993, 19040, 18990, 18982, 18986, 18995, 18980, 19007, 18957];[165, 209, 375, 167, 394, 166, 183, 161, 176, 148, 270, 871, 139, 117, 211, 234, 242, 295, 310, 161, 221, 158, 144, 274, 214, 339, 201, 156, 147];28
15_Long_term_renting_process;841.774767;[287.832433];[18136];[26];[372.49064];[18547];[308];[181.44922];[19498];[537];0
16_Bicycle_Rental_Process;772.933473;[284.908156];[18089];[23];[364.453159];[18497];[290];[123.570231];[19404];[295];0
18_nan;3305.16268;[287.361464, 281.836813, 288.639002, 279.952444];[18380, 18380, 18380, 18380];[27, 27, 27, 27];[379.408305, 361.406777, 407.654327, 380.159392];[18794, 18794, 18794, 18794];[338, 324, 451, 358];[95.308188, 152.162498, 254.297533, 136.969081];[19735, 19739, 19864, 19792];[139, 358, 992, 311];3
1_Hospital_Workflow;3019.147938;[282.196513, 268.722667, 281.615088, 274.82099];[17944, 17944, 17944, 17944];[44, 18, 48, 11];[309.815576, 320.746908, 325.804045, 316.336787];[18369, 18348, 18372, 18342];[112, 130, 131, 124];[95.205523, 233.312137, 206.959864, 103.604796];[19091, 19109, 19110, 19108];[193, 839, 652, 222];3
5_Quality_control_of_medical_products;765.977291;[275.058035];[17928];[15];[370.597681];[18330];[318];[120.319481];[19281];[263];0
16_Bicycle_Rental_Process;1221.808502;[27.310764];[18089];[27];[105.676316];[18502];[280];[93.465246];[19390];[30];1
16_Bicycle_Rental_Process;663.81378;[264.286715];[18089];[20];[317.947897];[18497];[269];[81.576417];[19379];[112];0
18_nan;2098.705737;[265.493546, 258.309943, 257.999153];[18380, 18380, 18380];[25, 27, 27];[325.22386, 327.855016, 329.879229];[18792, 18794, 18794];[259, 312, 311];[113.224783, 95.565645, 125.149139];[19673, 19726, 19725];[283, 210, 352];2
13_Translation_Order_Handling_Process;637.560827;[252.740599];[17974];[19];[301.008326];[18385];[218];[83.808861];[19214];[190];0
5_Quality_control_of_medical_products;1352.466585;[246.475677, 246.038664];[17928, 17928];[24, 15];[309.232091, 314.437266];[18339, 18330];[248, 288];[135.484326, 100.793779];[19211, 19250];[454, 269];1
